Dataset,Group,MarkerPair,Component,Load_N,Trials used,N,Mean (mm),SD (mm),CI level,CI lower (mm),CI upper (mm),CI half-width (mm)
Bending in sagittal plane,Whole-bone,2->6,X,0.0,1-3,3,-0.08347079961505224,0.021163238208061808,0.95,-0.13604319774980256,-0.03089840148030193,0.052572398134750314
Bending in sagittal plane,Whole-bone,2->6,Y,0.0,1-3,3,-0.5192222999280164,0.0967631872040708,0.95,-0.7595953823678269,-0.2788492174882059,0.24037308243981048
Bending in sagittal plane,Whole-bone,2->6,X,10.0,1-3,3,4.625929269271485e-18,0.013864238789355764,0.95,-0.03444067842092358,0.0344406784209236,0.03444067842092359
Bending in sagittal plane,Whole-bone,2->6,Y,10.0,1-3,3,3.700743415417188e-17,0.04596073590476046,0.95,-0.11417279731939796,0.11417279731939804,0.114172797319398
Bending in sagittal plane,Whole-bone,2->6,X,20.0,1-3,3,0.09486337442004356,0.017360445210809927,0.95,0.05173763777962964,0.13798911106045747,0.043125736640413914
Bending in sagittal plane,Whole-bone,2->6,Y,20.0,1-3,3,0.5759911650185726,0.10983675575288765,0.95,0.3031415379198957,0.8488407921172496,0.27284962709867694
Bending in sagittal plane,Whole-bone,2->6,X,30.0,1-3,3,0.24125949774704245,0.004241622741010575,0.95,0.23072272273721084,0.25179627275687405,0.010536775009831597
Bending in sagittal plane,Whole-bone,2->6,Y,30.0,1-3,3,1.5077834273410082,0.04107302230513536,0.95,1.4057523836985233,1.6098144709834932,0.10203104364248483
Bending in sagittal plane,Whole-bone,2->6,X,40.0,1-3,3,0.4254387184548326,0.02609175189363762,0.95,0.3606232136110175,0.4902542232986477,0.06481550484381508
Bending in sagittal plane,Whole-bone,2->6,Y,40.0,1-3,3,2.762093053704021,0.035761760390518614,0.95,2.673255916080455,2.8509301913275866,0.0888371376235656
Bending in sagittal plane,Fracture zone,3->5,X,0.0,1-3,3,-0.024897674649314656,0.00859258511385534,0.95,-0.046242839371802694,-0.0035525099268266178,0.021345164722488038
Bending in sagittal plane,Fracture zone,3->5,Y,0.0,1-3,3,-0.0866955556181009,0.02709987652742428,0.95,-0.15401538088281888,-0.019375730353382914,0.06731982526471798
Bending in sagittal plane,Fracture zone,3->5,X,10.0,1-3,3,1.1564823173178713e-18,0.011150105319017965,0.95,-0.027698397112617224,0.027698397112617224,0.027698397112617224
Bending in sagittal plane,Fracture zone,3->5,Y,10.0,1-3,3,0.0,0.02518869782438908,0.95,-0.062572194174673,0.062572194174673,0.062572194174673
Bending in sagittal plane,Fracture zone,3->5,X,20.0,1-3,3,0.02674909146506129,0.010302423647616884,0.95,0.0011564523599049518,0.052341730570217626,0.02559263910515634
Bending in sagittal plane,Fracture zone,3->5,Y,20.0,1-3,3,0.08724683666519972,0.025656188343600197,0.95,0.023513331661883047,0.1509803416685164,0.06373350500331668
Bending in sagittal plane,Fracture zone,3->5,X,30.0,1-3,3,0.05657229277866805,0.0029174472402150125,0.95,0.049324952067297825,0.06381963349003827,0.0072473407113702246
Bending in sagittal plane,Fracture zone,3->5,Y,30.0,1-3,3,0.34704026081495815,0.020969365426973828,0.95,0.2949494693669844,0.3991310522629319,0.05209079144797372
Bending in sagittal plane,Fracture zone,3->5,X,40.0,1-3,3,0.07805284445345251,0.0010708672733865277,0.95,0.07539266267538675,0.08071302623151827,0.0026601817780657583
Bending in sagittal plane,Fracture zone,3->5,Y,40.0,1-3,3,0.8204342903731897,0.0072448158843756,0.95,0.8024371700203475,0.8384314107260319,0.01799712035284222
Compression,Whole-bone,4->7,X,0.0,1-3,3,-0.7611776054824858,0.06604351712156517,0.95,-0.9252387969787613,-0.5971164139862103,0.16406119149627554
Compression,Whole-bone,4->7,Y,0.0,1-3,3,-0.07216376964128321,0.04286226744294904,0.95,-0.17863954460612183,0.03431200532355541,0.10647577496483862
Compression,Whole-bone,4->7,X,100.0,1-3,3,0.0,0.057631061227006584,0.95,-0.14316349256042518,0.14316349256042518,0.14316349256042518
Compression,Whole-bone,4->7,Y,100.0,1-3,3,-4.625929269271485e-18,0.023548093395122767,0.95,-0.058496706841918426,0.05849670684191841,0.05849670684191842
Compression,Whole-bone,4->7,X,200.0,1-3,3,0.039128027502658945,0.017574619609099854,0.95,-0.004529747837431826,0.08278580284274972,0.04365777534009077
Compression,Whole-bone,4->7,Y,200.0,1-3,3,0.24334702367904507,0.07183119706432659,0.95,0.06490843817359307,0.42178560918449703,0.178438585505452
Compression,Whole-bone,4->7,X,300.0,1-3,3,0.14678040231603026,0.037568256110103726,0.95,0.05345568054938335,0.24010512408267717,0.09332472176664691
Compression,Whole-bone,4->7,Y,300.0,1-3,3,0.7110486508687284,0.020971534973014856,0.95,0.6589524699696168,0.76314483176784,0.052096180899111555
Compression,Whole-bone,4->7,X,400.0,1-3,3,0.12610489812835576,0.04043422137348866,0.95,0.025660723970456087,0.22654907228625543,0.10044417415789968
Compression,Whole-bone,4->7,Y,400.0,1-3,3,0.9527433009450211,0.03232292454980004,0.95,0.8724487051177974,1.033037896772245,0.0802945958272238
Compression,Fracture zone,6->1,X,0.0,1-3,3,-0.1545856807124621,0.015865763781692376,0.95,-0.19399842284779822,-0.11517293857712596,0.03941274213533614
Compression,Fracture zone,6->1,Y,0.0,1-3,3,-0.00302263973477679,0.014892138677315052,0.95,-0.040016763031252345,0.03397148356169877,0.036994123296475556
Compression,Fracture zone,6->1,X,100.0,1-3,3,-9.25185853854297e-18,0.018136913992733147,0.95,-0.04505459202356234,0.04505459202356232,0.04505459202356233
Compression,Fracture zone,6->1,Y,100.0,1-3,3,-1.1564823173178713e-18,0.005817316121674505,0.95,-0.014451014358845729,0.014451014358845726,0.014451014358845727
Compression,Fracture zone,6->1,X,200.0,1-3,3,0.04579259792045675,0.0029389496623911516,0.95,0.03849184223126546,0.053093353609648036,0.007300755689191287
Compression,Fracture zone,6->1,Y,200.0,1-3,3,0.10502239500619244,0.025803901563385894,0.95,0.0409219500230866,0.16912283998929828,0.06410044498310584
Compression,Fracture zone,6->1,X,300.0,1-3,3,0.11693117078071678,0.005891551224271136,0.95,0.1022957462039774,0.13156659535745618,0.014635424576739386
Compression,Fracture zone,6->1,Y,300.0,1-3,3,0.2738664645003013,0.0031641440294016814,0.95,0.2660062949915523,0.28172663400905024,0.007860169508748956
Compression,Fracture zone,6->1,X,400.0,1-3,3,0.1443657204660032,0.003249456735240144,0.95,0.1362936224473921,0.15243781848461432,0.008072098018611116
Compression,Fracture zone,6->1,Y,400.0,1-3,3,0.36825368349290244,0.002633282852432103,0.95,0.3617122462535514,0.37479512073225346,0.006541437239351002
