Image,TrialID,LoadStepID,Load_N,MarkerPair,d_X_px,d_Y_px,d_X_mm,d_Y_mm,Deformation_from_unloaded_X_mm,Deformation_from_unloaded_Y_mm,Deformation_from_first_loaded_X_mm,Deformation_from_first_loaded_Y_mm,Deformation_X_mm,Deformation_Y_mm
_DSC3174.JPG,0,0,0,4->7,54.232750901288455,-2398.2425617843405,3.646869024951812,-161.2692767293242,0.0,0.0,,,-0.7151314544173513,-0.4713553503398297
_DSC3175.JPG,0,1,100,4->7,64.74091734703143,-2396.0282652417786,4.353488292518922,-161.12037686090656,0.7066192675671109,0.14889986841761002,0.0,0.0,-0.008512186850240688,-0.32245548192220025
_DSC3177.JPG,0,2,200,4->7,65.62155401167729,-2390.2463368926183,4.412706505151717,-160.73157240141265,0.7658374801999053,0.5377043279115262,0.05921821263279443,0.3888044594939162,0.05070602578255379,0.0663489775717115
_DSC3179.JPG,0,3,300,4->7,66.92985386749888,-2382.9462459225933,4.500682832006849,-160.24067944106162,0.8538138070550366,1.0285972882625727,0.1471945394879257,0.8796974198449627,0.13868235263768547,0.5572419379227446
_DSC3180.JPG,0,4,400,4->7,68.32462303599686,-2383.5862122547633,4.594473768166648,-160.2837138318129,0.947604743214837,0.9855628975112988,0.24098547564772613,0.8366630290936887,0.2324732887974852,0.514207547171471
_DSC3182.JPG,1,0,0,4->7,54.50141503208033,-2392.9619630389648,3.6649352834472335,-160.91418406524815,0.0,0.0,,,-0.6970651959219296,-0.11626268626379026
_DSC3184.JPG,1,1,100,4->7,65.85326594787148,-2391.072921101423,4.428287921708591,-160.7871558689209,0.7633526382613581,0.1270281963272449,0.0,0.0,0.06628744233942818,0.010765510063455011
_DSC3185.JPG,1,2,200,4->7,65.68490202328894,-2388.7011567706163,4.4169663278142135,-160.6276671148238,0.7520310443669798,0.2865169504243487,-0.011321593894378434,0.15948875409710384,0.05496584844505037,0.1702542641605665
_DSC3186.JPG,1,3,300,4->7,66.74745579307,-2380.905460635527,4.488417514891435,-160.10344729763733,0.8234822314442015,0.8107367676108291,0.06012959318284338,0.6837085712835842,0.12641703552227224,0.6944740813470295
_DSC3188.JPG,1,4,400,4->7,67.40545685221105,-2377.4465271459408,4.532664646764474,-159.87085210021684,0.8677293633172399,1.0433319650313093,0.10437672505588182,0.9163037687040645,0.17066416739531043,0.9270692787675235
_DSC3189.JPG,2,0,0,4->7,53.603110731612105,-2392.2676377167268,3.604529014653652,-160.8674943165478,0.0,0.0,,,-0.7574714647155112,-0.06957293756344522
_DSC3190.JPG,2,1,100,4->7,64.45018618911126,-2391.634631781667,4.333938141792893,-160.82492797612036,0.7294091271392408,0.04256634042743162,0.0,0.0,-0.028062337576270302,-0.02700659713600355
_DSC3191.JPG,2,2,200,4->7,65.4950201435854,-2387.5756250671966,4.404197763911732,-160.55198099089338,0.79966874925808,0.3155133256544273,0.07025962211883921,0.2729469852269957,0.04219728454256888,0.24594038809097657
_DSC3192.JPG,2,3,300,4->7,66.70839204257572,-2380.763109343025,4.48579068185589,-160.09387491728302,0.8812616672022372,0.7736193992647977,0.15185254006299642,0.731053058837366,0.12379020248672656,0.7040464617013432
_DSC3193.JPG,2,4,400,4->7,66.59104456847172,-2377.222713114216,4.477899677594549,-159.85580177645338,0.8733706629408975,1.0116925400944228,0.14396153580165671,0.9691261996669912,0.11589919822538608,0.9421196025309845
_DSC3194.JPG,3,0,0,4->7,52.53946388033228,-2391.6888975304587,3.5330043235591466,-160.82857706408097,0.0,0.0,,,-0.8289961558100165,-0.030655685096614135
_DSC3195.JPG,3,1,100,4->7,64.29905522785566,-2390.9914935530405,4.323775374606005,-160.7816802919118,0.790771051046859,0.0468967721691592,0.0,0.0,-0.03822510476315788,0.016241087072548524
_DSC3196.JPG,3,2,200,4->7,65.1682090914669,-2386.5657914751046,4.382221428889521,-160.48407496019877,0.8492171053303739,0.34450210388221625,0.05844605428351483,0.2976053317130571,0.02022094952035758,0.3138464187855921
_DSC3197.JPG,3,3,300,4->7,67.69499313388087,-2380.3083684541757,4.552134448308255,-160.06329596942655,1.0191301247491082,0.7652810946544449,0.22835907370224928,0.7183843224852857,0.19013396893909196,0.7346254095578123
_DSC3198.JPG,3,4,400,4->7,66.23194053147017,-2376.524942612601,4.453751808133534,-159.8088803574478,0.9207474845743877,1.0196967066331644,0.12997643352752872,0.972799934464005,0.09175132876437075,0.9890410215365554
